run_idx,seed,matching_orgs,metric,value
0,314,TRUE,test_mcc,0.3416
0,314,TRUE,valid_best_mcc,0.3968
1,550,TRUE,test_mcc,0.3665
1,550,TRUE,valid_best_mcc,0.403
2,576,TRUE,test_mcc,0.3088
2,576,TRUE,valid_best_mcc,0.3925
3,669,TRUE,test_mcc,0.3721
3,669,TRUE,valid_best_mcc,0.4077
4,842,TRUE,test_mcc,0.322
4,842,TRUE,valid_best_mcc,0.3738
5,314,FALSE,test_mcc,0.2455
5,314,FALSE,valid_best_mcc,0.6974
6,550,FALSE,test_mcc,0.2038
6,550,FALSE,valid_best_mcc,0.7015
7,576,FALSE,test_mcc,0.2276
7,576,FALSE,valid_best_mcc,0.7263
8,669,FALSE,test_mcc,0.2251
8,669,FALSE,valid_best_mcc,0.6871
9,842,FALSE,test_mcc,0.2506
9,842,FALSE,valid_best_mcc,0.7435
